sequence,total,bullish,bearish,neutral,bullish_ratio,bearish_ratio,neutral_ratio,bias
"((4, 0), (3, -1))",41,13,3,25,0.3170731707317073,0.07317073170731707,0.6097560975609756,0.24390243902439024
"((2, 0), (5, 0), (5, 0))",30,11,4,15,0.36666666666666664,0.13333333333333333,0.5,0.23333333333333334
"((8, 0), (7, 0), (5, 0))",43,12,3,28,0.27906976744186046,0.06976744186046512,0.6511627906976745,0.20930232558139536
"((4, 0), (4, 0), (2, 0))",39,8,1,30,0.20512820512820512,0.02564102564102564,0.7692307692307693,0.1794871794871795
"((5, 0), (4, -1))",72,22,10,40,0.3055555555555556,0.1388888888888889,0.5555555555555556,0.16666666666666666
"((4, -1), (4, 0))",55,13,4,38,0.23636363636363636,0.07272727272727272,0.6909090909090909,0.16363636363636364
"((3, 0), (0, 0))",31,8,3,20,0.25806451612903225,0.0967741935483871,0.6451612903225806,0.16129032258064516
"((9, 0), (4, 0), (8, 0))",31,8,3,20,0.25806451612903225,0.0967741935483871,0.6451612903225806,0.16129032258064516
"((2, -1),)",54,23,15,16,0.42592592592592593,0.2777777777777778,0.2962962962962963,0.14814814814814814
"((2, 0), (2, 0))",43,16,10,17,0.37209302325581395,0.23255813953488372,0.3953488372093023,0.13953488372093023
"((4, 0), (2, 0))",145,34,15,96,0.23448275862068965,0.10344827586206896,0.6620689655172414,0.1310344827586207
"((7, 0), (6, 0), (4, 0))",31,4,0,27,0.12903225806451613,0.0,0.8709677419354839,0.12903225806451613
"((8, 0), (4, -1))",70,25,16,29,0.35714285714285715,0.22857142857142856,0.4142857142857143,0.12857142857142856
"((8, 0), (8, 0), (5, 0))",39,11,6,22,0.28205128205128205,0.15384615384615385,0.5641025641025641,0.1282051282051282
"((1, 0), (2, 0))",48,19,13,16,0.3958333333333333,0.2708333333333333,0.3333333333333333,0.125
"((4, 0), (7, 0), (7, 0))",56,14,7,35,0.25,0.125,0.625,0.125
"((0, 0), (5, 0), (9, 0))",41,6,1,34,0.14634146341463414,0.024390243902439025,0.8292682926829268,0.12195121951219512
"((6, 0), (0, 0), (8, 0))",33,4,0,29,0.12121212121212122,0.0,0.8787878787878788,0.12121212121212122
"((3, 1), (1, 0))",33,11,7,15,0.3333333333333333,0.21212121212121213,0.45454545454545453,0.12121212121212122
"((7, 0), (5, 0), (0, 0))",108,20,8,80,0.18518518518518517,0.07407407407407407,0.7407407407407407,0.1111111111111111
"((8, 0), (8, 0), (7, 0))",36,9,5,22,0.25,0.1388888888888889,0.6111111111111112,0.1111111111111111
"((7, 0), (0, 1))",59,15,9,35,0.2542372881355932,0.15254237288135594,0.5932203389830508,0.1016949152542373
"((2, 0), (7, 0))",89,24,15,50,0.2696629213483146,0.16853932584269662,0.5617977528089888,0.10112359550561797
"((8, 0), (4, 0), (9, 0))",70,10,3,57,0.14285714285714285,0.04285714285714286,0.8142857142857143,0.1
"((7, 0), (4, 0), (8, 0))",70,7,14,49,0.1,0.2,0.7,-0.1
"((5, 0), (5, 0), (7, 0))",69,7,14,48,0.10144927536231885,0.2028985507246377,0.6956521739130435,-0.10144927536231885
"((7, 0), (9, 0), (4, 0))",47,2,7,38,0.0425531914893617,0.14893617021276595,0.8085106382978723,-0.10638297872340426
"((2, 0), (0, 1))",35,6,10,19,0.17142857142857143,0.2857142857142857,0.5428571428571428,-0.11428571428571428
"((0, 1), (4, 0))",75,8,17,50,0.10666666666666667,0.22666666666666666,0.6666666666666666,-0.12
"((5, 0), (9, 0), (7, 0))",32,1,5,26,0.03125,0.15625,0.8125,-0.125
"((5, 0), (0, 1))",90,16,28,46,0.17777777777777778,0.3111111111111111,0.5111111111111111,-0.13333333333333333
"((5, -1),)",69,15,25,29,0.21739130434782608,0.36231884057971014,0.42028985507246375,-0.14492753623188406
"((7, 0), (5, 0), (5, 0))",64,4,15,45,0.0625,0.234375,0.703125,-0.171875
"((7, 0), (5, 0), (8, 0))",62,7,18,37,0.11290322580645161,0.2903225806451613,0.5967741935483871,-0.1774193548387097
"((5, 1),)",35,4,11,20,0.11428571428571428,0.3142857142857143,0.5714285714285714,-0.2
